show,year,genre,rating,votes,runtime,gross
"A pesar de todo",2019,Comedy,5.4,4437.0,78.0,""
A-reu-gon,2017,Drama,7.4,223.0,0.0,""
"A.I.C.O. Incarnation",2018,"Animation,Action,Sci-Fi",6.4,1059.0,25.0,""
"A.N.T. Farm",20112014,"Comedy,Drama,Family",5.1,6347.0,30.0,""
ADN,2020,Drama,5.9,733.0,90.0,""
"AJ and the Queen",2020,"Adventure,Comedy,Drama",7.5,7137.0,52.0,""
"AK vs AK",2020,"Action,Comedy,Crime",6.9,12797.0,108.0,""
ARQ,2016,"Action,Sci-Fi,Thriller",6.4,36715.0,88.0,""
"Aakash Gupta Special",2021,Comedy,0.0,0.0,0.0,""
"Aala Kaf Ifrit",2017,"Crime,Drama,Thriller",7.0,1912.0,100.0,0.01
"Abby Hatcher",20182021,"Animation,Adventure,Comedy",6.2,133.0,23.0,""
"Abducted in Plain Sight",2017,"Documentary,Crime",6.8,17078.0,91.0,""
"Abeojiga Isanghae",2017,"Comedy,Drama,Romance",8.3,391.0,66.0,""
"Abla Fahita: Drama Queen",2021,"Comedy,Crime,Drama",6.6,388.0,25.0,""
"Abstract: The Art of Design",2017,Documentary,8.4,5046.0,45.0,""
"Absurd Planet",2020,Documentary,3.9,1349.0,0.0,""
Abzurdah,2015,"Biography,Drama,Romance",5.4,1945.0,90.0,""
"Accidentally in Love",2018,"Music,Romance",7.6,933.0,30.0,""
Accomplice,2021,Documentary,7.3,230.0,52.0,""
"Aci Kiraz",2020,Drama,5.0,229.0,94.0,""
Acrimony,2018,Thriller,5.8,8263.0,120.0,43.55
"Acts of Violence",2018,"Action,Crime",5.3,11683.0,86.0,""
"Ad Vitam",2018,"Crime,Drama,Mystery",6.5,1428.0,60.0,""
"Ada Twist, Scientist",2021,"Animation,Adventure,Comedy",0.0,0.0,6.0,""
"Adam Devine: Best Time of Our Lives","2019 TV Special",Comedy,5.8,881.0,58.0,""
"Adam Sandler: 100% Fresh","2018 TV Special","Comedy,Music",7.6,4846.0,73.0,""
"Adel Karam: Live from Beirut","2018 TV Special",Comedy,5.4,130.0,59.0,""
"Adios Amigos",2016,Drama,6.6,547.0,91.0,""
"Aditi Mittal: Things They Wouldn't Let Me Say","2017 TV Special",Comedy,4.4,308.0,62.0,""
"Adult Beginners",2014,"Action,Comedy,Drama",5.6,8169.0,92.0,0.10
Advantageous,2015,"Drama,Family,Sci-Fi",6.2,5140.0,90.0,""
"Adventure Time",20102018,"Animation,Action,Adventure",8.6,81525.0,11.0,""
Advokaten,2018,"Crime,Drama,Mystery",7.0,1393.0,45.0,""
"Adú",2020,Drama,6.7,4416.0,119.0,""
Aelay,2021,"Comedy,Drama",7.1,561.0,153.0,""
Aelliseu,2020,"Drama,Fantasy,Mystery",7.2,792.0,70.0,""
Aenggeurimam,2015,"Comedy,Drama",7.6,440.0,70.0,""
"Aetaneun Romaenseu",2017,"Comedy,Romance",7.1,2365.0,47.0,""
Afblijven,2006,"Drama,Family",5.3,2132.0,100.0,""
Afflicted,2018,"Documentary,Mystery,Reality-TV",5.0,1080.0,0.0,""
Affliction,"III 2021","Horror,Thriller",6.2,76.0,90.0,""
"Afonso Padilha: Alma de Pobre","2020 TV Special",Comedy,6.8,150.0,63.0,""
"Afro Samurai",2007,"Animation,Action,Adventure",7.7,15625.0,26.0,""
"After Life",2019,"Comedy,Drama",8.3,14713.29,28.43,""
"After Maria",2019,"Documentary,Short",4.6,381.0,35.0,""
"After Porn Ends",2012,Documentary,5.7,7703.0,94.0,""
"After Porn Ends 2",2017,Documentary,5.5,2512.0,90.0,""
"After Porn Ends 3",2018,Documentary,5.3,1551.0,86.0,""
"After Tiller",2013,"Documentary,Biography,Drama",7.4,1046.0,85.0,0.07
"After Trek",20172018,Talk-Show,4.9,252.0,48.0,""
"After the Raid",2019,"Documentary,Short",4.3,105.0,24.0,""
"Afterlife of the Party",2021,Comedy,0.0,0.0,109.0,""
Aftermath,"IV 2021","Drama,Horror,Mystery",6.5,20.0,114.0,""
Again,"","Crime,Drama,Thriller",0.0,0.0,0.0,""
"Against the Ice",2021,"Adventure,Drama,History",0.0,0.0,0.0,""
"Against the Sun",2014,"Biography,Drama,War",6.5,5503.0,100.0,""
"Age of Samurai: Battle for Japan",2021,"Documentary,Action,Adventure",7.44,604.29,36.71,""
Agent,2019,Drama,7.2,73.0,0.0,""
"Agent King","","Animation,Action,Comedy",0.0,0.0,0.0,""
"Agents of S.H.I.E.L.D.",20132020,"Action,Adventure,Drama",7.5,205119.0,45.0,""
"Aggressive Retsuko",2016,"Animation,Comedy,Musical",8.3,948.0,0.0,""
Aggretsuko,2018,"Animation,Comedy,Drama",8.1,5196.0,15.0,""
"Aguacate El Fruto Del Cielo",2021,Documentary,0.0,0.0,0.0,""
"Agustín Aristarán: Soy Rada","2018 TV Special",Comedy,6.5,110.0,0.0,""
"Ahiru no Sora",2019,"Animation,Sport",7.5,451.0,0.0,""
"Ahí te Encargo",2020,"Comedy,Romance",5.8,1101.0,111.0,""
"Ai hui lai",20112012,"Drama,Romance",6.6,13.0,0.0,""
"Ai-naki mori de sakebe",2019,"Crime,Drama,Horror",6.3,2147.0,151.0,""
Ailiseu,20092013,"Action,Mystery,Romance",7.9,1810.0,60.0,""
"Ainori Love Wagon: African Journey",2020,Reality-TV,7.1,79.0,0.0,""
"Ainori Reboot",2017,Reality-TV,0.0,0.0,0.0,""
"Ainori: Asian Journey",2017,Reality-TV,6.9,243.0,0.0,""
"Ajeeb Daastaans",2021,"Drama,Romance",6.7,4649.0,142.0,""
Ajin,2016,"Animation,Action,Adventure",7.6,5606.0,24.0,""
Ajji,2017,"Crime,Drama",6.9,1016.0,104.0,""
"Akame ga Kill!",2014,"Animation,Action,Adventure",7.8,19158.0,24.0,""
"Akbar Birbal",2014,"Comedy,Drama,History",7.5,125.0,25.0,""
Akelarre,2020,"Adventure,Drama,History",6.3,3610.0,92.0,""
"Akhir Kisah Cinta Si Doel",2020,"Drama,Romance",6.7,119.0,93.0,""
Akjilkyungchal,2019,"Action,Crime,Drama",6.3,1768.0,127.0,""
"Al Hayba",2017,"Action,Romance",7.4,982.0,45.0,""
"Al midan",2013,"Documentary,Drama,History",8.1,8795.0,108.0,0.12
"Al posto suo","2020 TV Movie",Comedy,6.1,76.0,97.0,""
"AlRawabi School for Girls",2021,Drama,0.0,0.0,0.0,""
"Ala Vaikunthapurramuloo",2020,"Action,Comedy,Drama",7.3,10091.0,163.0,4.70
"Alan Saldaña: Locked Up","2021 TV Special",Comedy,4.1,24.0,49.0,""
